----------------------------------------------------------------------------------------------------
Marvellous\Marvellous2024_06_02_10_16_42.log Process Log
Log file created at :Sun Jun  2 10:16:42 2024
----------------------------------------------------------------------------------------------------
CONTENTS OF LOG FILE 
----------------------------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 68, 'name': 'svchost.exe', 'username': None} 
{'pid': 72, 'name': 'svchost.exe', 'username': None} 
{'pid': 100, 'name': 'Registry', 'username': None} 
{'pid': 448, 'name': 'smss.exe', 'username': None} 
{'pid': 592, 'name': 'WUDFHost.exe', 'username': None} 
{'pid': 684, 'name': 'csrss.exe', 'username': None} 
{'pid': 688, 'name': 'svchost.exe', 'username': None} 
{'pid': 816, 'name': 'RtkBtManServ.exe', 'username': None} 
{'pid': 820, 'name': 'wininit.exe', 'username': None} 
{'pid': 868, 'name': 'services.exe', 'username': None} 
{'pid': 912, 'name': 'svchost.exe', 'username': None} 
{'pid': 936, 'name': 'lsass.exe', 'username': None} 
{'pid': 968, 'name': 'fontdrvhost.exe', 'username': None} 
{'pid': 1036, 'name': 'svchost.exe', 'username': None} 
{'pid': 1060, 'name': 'SynTPEnhService.exe', 'username': None} 
{'pid': 1072, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 1136, 'name': 'svchost.exe', 'username': None} 
{'pid': 1188, 'name': 'svchost.exe', 'username': None} 
{'pid': 1288, 'name': 'svchost.exe', 'username': None} 
{'pid': 1320, 'name': 'svchost.exe', 'username': None} 
{'pid': 1328, 'name': 'svchost.exe', 'username': None} 
{'pid': 1336, 'name': 'svchost.exe', 'username': None} 
{'pid': 1364, 'name': 'svchost.exe', 'username': None} 
{'pid': 1448, 'name': 'svchost.exe', 'username': None} 
{'pid': 1480, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 1504, 'name': 'svchost.exe', 'username': None} 
{'pid': 1640, 'name': 'svchost.exe', 'username': None} 
{'pid': 1700, 'name': 'svchost.exe', 'username': None} 
{'pid': 1712, 'name': 'svchost.exe', 'username': None} 
{'pid': 1840, 'name': 'svchost.exe', 'username': None} 
{'pid': 1912, 'name': 'svchost.exe', 'username': None} 
{'pid': 1936, 'name': 'atiesrxx.exe', 'username': None} 
{'pid': 2016, 'name': 'svchost.exe', 'username': None} 
{'pid': 2080, 'name': 'svchost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 2096, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 2104, 'name': 'svchost.exe', 'username': None} 
{'pid': 2112, 'name': 'svchost.exe', 'username': None} 
{'pid': 2120, 'name': 'svchost.exe', 'username': None} 
{'pid': 2208, 'name': 'svchost.exe', 'username': None} 
{'pid': 2252, 'name': 'igfxCUIService.exe', 'username': None} 
{'pid': 2260, 'name': 'svchost.exe', 'username': None} 
{'pid': 2276, 'name': 'svchost.exe', 'username': None} 
{'pid': 2400, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 2436, 'name': 'svchost.exe', 'username': None} 
{'pid': 2468, 'name': 'svchost.exe', 'username': None} 
{'pid': 2476, 'name': 'svchost.exe', 'username': None} 
{'pid': 2492, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 2548, 'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
